INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
hxxp://hr-suncor[.]com/Suncor_employment_form[.]doc,URL,,URL WATCHLIST,DELIVERY,2018-11-27,TLP:WHITE,"According to open-source analysis, the URL is a spear phishing link that leads to a file containing a malicious macro; the file is designed to look like a legitimate file available on the Suncor Energy website. At the time of analysis, the URL led to file ""stat.php"" [MD5: ca783981d8cff646eececb652f636a3b]. File is clean according to antivirus engines."
hxxp://hr-wipro[.]com/Wipro_Working_Conditions[.]doc,URL,,URL WATCHLIST,DELIVERY,2019-01-10,TLP:WHITE,"According to open-source analysis, the URL is a spear phishing link that leads to a malicious file. At the time of analysis, research into the the URL did not result in any file information."
hr-wipro[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2018-11-27,TLP:WHITE,"According to open-source analysis, this is a malicious domain masquerading as a legitimate website that hosts job listings. At the time of analysis, the domain resolved to IP ""185.161.211.79"" which is geolocated in the Netherlands."
hr-suncor[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2018-11-27,TLP:WHITE,"According to open-source analysis, this is a malicious domain masquerading as a legitimate website that hosts job listings. At the time of analysis, the domain resolved to IP ""185.161.211.79"" which is geolocated in the Netherlands."
0ffice36o[.]com,FQDN,,DOMAIN WATCHLIST,C2,2018-11-27,TLP:WHITE,"According to open-source analysis, this is a C2 server domain for a remote administration tool (RAT) malware and communicates with the malware over HTTP and DNS. At the time of analysis, the domain resolved to IP ""185.20.187.8"", which is geolocated in the Netherlands."
cloudipnameserver[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2019-01-11,TLP:WHITE,"According to open-source analysis, this domain is one of a number of actor-owned domains that were used as name servers for hijacked infrastructure. At the time of analysis, this domain resolved to IP ""209.99.40.222"", which is geolocated in the USA."
cloudnamedns[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2019-01-11,TLP:WHITE,"According to open-source analysis, this domain is one of a number of actor-owned domains that were used as name servers for hijacked infrastructure. At the time of analysis, this domain resolved to IP ""209.99.40.223"", which is geolocated in the USA."
lcjcomputing[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2019-01-11,TLP:WHITE,"According to open-source analysis, this domain is one of a number of actor-owned domains that were used as name servers for hijacked infrastructure. At the time of analysis, this domain resolved to IP "" 198.54.117.210"", which is geolocated in the USA."
mmfasi[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2019-01-11,TLP:WHITE,"According to open-source analysis, this domain is one of a number of actor-owned domains that were used as name servers for hijacked infrastructure. At the time of analysis, this domain resolved to IP ""192.64.147.142"", which is geolocated in the USA."
Interaland[.]com,FQDN,,DOMAIN WATCHLIST,RECONNAISSANCE,2019-01-11,TLP:WHITE,"According to open-source analysis, this domain is one of a number of actor-owned domains that were used as name servers for hijacked infrastructure. At the time of analysis, this domain resolved to IP ""52.58.78.16"", which is geolocated in Germany."
