INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
125[.]212[.]132[.]222,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"According to open source research, this IP calls back to file ""inetmon.exe"" [MD5: e48fe20eb1f5a5887f2ac631fed9ed63], which is identified as Destover malware. IP ""125.212.132.222"" is registered to Viettel Corporation in Vietnam."
175[.]100[.]189[.]174,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"According to open source research, this IP calls back to file ""inetmon.exe"" [MD5: e48fe20eb1f5a5887f2ac631fed9ed63], which is identified as Destover malware. IP ""175.100.189.174"" is registered to Microscan Computers Private Limited in India."
81[.]0[.]213[.]173,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"According to open source research, this IP calls back to file [MD5: ef9db20ab0eebf0b7c55af4ec0b7bced], no further information is available about the file.  IP ""81.0.213.173"" is registered to Casablanca INT Autonomous system in Czech Republic. Latest passive DNS replication is to domain ""www.oblakoo.ru"" as of November 11, 2015."
98[.]101[.]211[.]162,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"According to open source research, this IP calls back to file [MD5: ef9db20ab0eebf0b7c55af4ec0b7bced], no further information is available about the file. This IP resolves to the following domain, ""rrcs-98-101-211-162.midsouth.biz.rr.com"". Passive DNS: ""mail.bocabearings.com"" as of July 4, 2017. IP ""81.0.213.173"" is registered to Time Warner Cable Internet LLC in USA."
181[.]119[.]19[.]118,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to open source research, IP ""181.119.19.118"" is registered to Wavenet S.A. in Argentina."
181[.]119[.]19[.]141,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host.  According to open source research, IP ""181.119.19.141"" is registered to Wavenet S.A. in Argentina."
181[.]119[.]19[.]196,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to open source research, IP ""181.119.19.196"" is registered to Wavenet S.A. in Argentina."
181[.]119[.]19[.]5,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host.  According to open source research, IP ""181.119.19.5"" is registered to Wavenet S.A. in Argentina. Passive DNS resolves to domain ""dns1.wavenet.com"" as of May 19, 2017. This IP host a malicious URL ""http://dns1.wavenet.com.ar/""."
181[.]119[.]19[.]50,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host.  According to open source research, IP ""181.119.19.50"" is registered to Wavenet S.A. in Argentina. Passive DNS resolves to domains ""areabis.com"" and ""mail.robyla.com"" as of May 19, 2017. This IP hosts multiple malicious URLs."
181[.]119[.]19[.]54,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to open source research, IP ""181.119.19.54"" is registered to Wavenet S.A. in Argentina. Passive DNS resolves to domain ""webmail.distrilef.com"" as of May 28, 2017. This IP hosts multiple malicious URLs."
181[.]119[.]19[.]56,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host.  According to open source research, IP ""181.119.19.56"" is registered to Wavenet S.A. in Argentina. Passive DNS resolves to domain ""www.alfa-arq.com"" as of October 23, 2017. This IP hosts multiple malicious URLs as of October 23, 2017. This IP hosts multiple malicious downloaded files related to Blackhole Exploit Kit as of May 26, 2013."
181[.]119[.]19[.]58,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to open source research, IP ""181.119.19.58"" is registered to Wavenet S.A. in Argentina. Passive DNS resolves to domain ""industriasmaya.com.ar"" as of June 08, 2017. This IP hosts multiple malicious URLs."
