INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
bit[.]ly/2m0x8IH,URL,,URL WATCHLIST,DELIVERY,2017-05-02,TLP:WHITE,"According to DHS and FBI analysis, """"Document.pdf"" (note the two single apostrophes at the beginning of the file name) contained this URL .  This URL led to another shortened URL ""tinyurl.com/h3sdqck"" that redirected those that clicked to ""www.imageliners.com/nitel""."
tinyurl[.]com/h3sdqck,URL,,URL WATCHLIST,DELIVERY,2017-05-02,TLP:WHITE,"According to DHS and FBI analysis, """"Document.pdf"" [MD5: e29d1f5d79cd906f75c88177c7f6168e] (note the two single apostrophes at the beginning of the file name) contained an embedded shortened link ""bit.ly/2m0x8IH"".  This URL led to another shortened URL ""tinyurl.com/h3sdqck"" that redirected those that clicked to ""www.imageliners.com/nitel""."
www[.]imageliners[.]com/nitel,URL,,URL WATCHLIST,DELIVERY,2017-05-02,TLP:WHITE,"According to DHS and FBI analysis, """"Document.pdf"" [MD5: e29d1f5d79cd906f75c88177c7f6168e] (note the two single apostrophes at the beginning of the file name) contained an embedded shortened link ""bit.ly/2m0x8IH"".  This URL led to another shortened URL ""tinyurl.com/h3sdqck"" that redirected those that clicked to ""www.imageliners.com/nitel""."
file://184[.]154[.]150[.]66/ame_icon[.]png,URL,,URL WATCHLIST,C2,,TLP:WHITE,"According to DHS and FBI analysis, this URI is referenced by a modified JavaScript (.js) files injected with instructions to fetch a remote file over TCP/445, which leads to NTLMSSP authentication requests and potentially compromised user credentials."
hxxps://167[.]114[.]44[.]147/A56WY,URL,,URL WATCHLIST,DELIVERY,,TLP:WHITE,"According to DHS and FBI analysis, [MD5: 04738CA02F59A5CD394998A99FCD9613] appears to download shellcode into memory and executes it.  It may be located in the user's folder as a sign of malicious activity."
hxxp://187[.]130[.]251[.]249/img/bson021[.]dat?0,URL,,URL WATCHLIST,DELIVERY,,TLP:WHITE,"According to DHS malware analysis, [MD5: A07AA521E7CAFB360294E56969EDA5D6] will attempt to download a payload from its C2 server using this URL."
hxxp://www[.]oilandgaseng[.]com/fileadmin/templates/Redesign_2013_V2/js/loginbox_og[.]js,URL,,URL WATCHLIST,RECONNAISSANCE,,TLP:WHITE,"According to DHS and FBI analysis, this is a legitimate domain which may have been used as a watering hole during the period of January 2017 to July 2017 for the purpose of compromising victims. DNS records indicate this domain resolves to IP ""74.201.40.28"" (Grand Central Networks, Inc.)."
hxxp://www[.]plantengineering[.]com/typo3conf/ext/t3s_jslidernews/res/js/jquery[.]easing[.]js,URL,,URL WATCHLIST,RECONNAISSANCE,,TLP:WHITE,"According to DHS and FBI analysis, this is a legitimate domain which may have been used as a watering hole during the period of March 2017 to July 2017 for the purpose of compromising victims. DNS records indicate this domain resolves to IP ""74.201.40.33"" (Grand Central Networks, Inc.)."
hxxp://www[.]controleng[.]com/typo3conf/ext/t3s_jslidernews/res/js/jquery[.]easing[.]js,URL,,URL WATCHLIST,RECONNAISSANCE,,TLP:WHITE,"According to DHS and FBI analysis, this is a legitimate domain which may have been used as a watering hole during the period of December 2016 to July 2017 for the purpose of compromising victims. DNS records indicate this domain resolves to IP ""74.201.40.32"" (Grand Central Networks, Inc.)."
hxxp://www[.]csemag[.]com/typo3conf/ext/t3s_jslidernews/res/js/jquery[.]easing[.]js,URL,,URL WATCHLIST,RECONNAISSANCE,,TLP:WHITE,"According to DHS and FBI analysis, this is a legitimate domain which may have been used as a watering hole during the period of April 2017 to July 2017 for the purpose of compromising victims. DNS records indicate this domain resolves to IP ""74.201.40.34"" (Grand Central Networks, Inc)."
130[.]25[.]10[.]158,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
167[.]114[.]44[.]147,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback for ""s.exe"" (also named ""svcsrl.exe"") within SSL traffic."
176[.]53[.]11[.]130,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
184[.]154[.]150[.]66,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, the file ""d.js"" is associated with command 'net use \\184.154.150.66'."
187[.]130[.]251[.]249,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, the file ""d.js"" is associated with GET request for ""http://187.130.251.249/img/bson021.dat""."
193[.]213[.]49[.]115,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
195[.]87[.]199[.]197,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
2[.]229[.]10[.]193,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
41[.]205[.]61[.]221,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
41[.]78[.]157[.]34,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
5[.]150[.]143[.]107,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address is associated with a callback string in ""ntdll.exe""."
5[.]153[.]58[.]45,IPV4ADDR,,IP_WATCHLIST,C2,2017-03-02,TLP:WHITE,"According to DHS and FBI analysis, this IP address was found in ""svcsrv.bat"", ""CV Controls Engineer.docx"" and .lnk files and is associated with a compromised server used for SMB file retrieval and capturing NTLM credentials."
