INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
181.1.253.234,IPV4ADDR,,IP_WATCHLIST,C2,12/28/2017 00:10:25Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Argentina."
200.82.62.24,IPV4ADDR,,IP_WATCHLIST,C2,1/20/2018 13:17:44Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Argentina."
81.243.151.226,IPV4ADDR,,IP_WATCHLIST,C2,1/24/2018 07:08:58Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Belgium."
81.247.219.196,IPV4ADDR,,IP_WATCHLIST,C2,12/28/2017 13:05:30Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Belgium."
138.204.211.197,IPV4ADDR,,IP_WATCHLIST,C2,1/19/2018 19:31:28Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
177.221.11.176,IPV4ADDR,,IP_WATCHLIST,C2,12/21/2017 22:05:40Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
177.221.11.233,IPV4ADDR,,IP_WATCHLIST,C2,12/20/2017 16:04:44Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
177.41.74.199,IPV4ADDR,,IP_WATCHLIST,C2,12/29/2017 11:14:30Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
179.107.219.90,IPV4ADDR,,IP_WATCHLIST,C2,1/20/2018 09:50:30Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
187.127.112.60,IPV4ADDR,,IP_WATCHLIST,C2,12/27/2017 15:52:49Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
187.127.115.206,IPV4ADDR,,IP_WATCHLIST,C2,12/28/2017 19:05:51Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
189.15.173.106,IPV4ADDR,,IP_WATCHLIST,C2,12/27/2017 01:32:04Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Brazil."
103.227.174.79,IPV4ADDR,,IP_WATCHLIST,C2,12/22/2017 14:27:05Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Cambodia."
146.88.205.56,IPV4ADDR,,IP_WATCHLIST,C2,1/9/2018 11:35:13Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Cambodia."
113.57.34.213,IPV4ADDR,,IP_WATCHLIST,C2,12/26/2017 22:27:56Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in China."
117.179.224.33,IPV4ADDR,,IP_WATCHLIST,C2,12/26/2017 07:52:45Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in China."
181.234.231.152,IPV4ADDR,,IP_WATCHLIST,C2,12/29/2017 13:08:05Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Colombia."
190.60.109.166,IPV4ADDR,,IP_WATCHLIST,C2,1/4/2018 12:25:46Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Colombia."
196.204.141.76,IPV4ADDR,,IP_WATCHLIST,C2,1/28/2018 03:23:42Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Egypt."
196.221.41.109,IPV4ADDR,,IP_WATCHLIST,C2,12/11/2017 19:13:21Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in Egypt."
1.186.218.107,IPV4ADDR,,IP_WATCHLIST,C2,1/15/2018 07:35:24Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
103.71.212.72,IPV4ADDR,,IP_WATCHLIST,C2,1/31/2018 10:26:58Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
106.51.226.188,IPV4ADDR,,IP_WATCHLIST,C2,1/4/2018 12:25:46Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
114.79.191.185,IPV4ADDR,,IP_WATCHLIST,C2,1/11/2018 07:44:40Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
117.213.169.79,IPV4ADDR,,IP_WATCHLIST,C2,1/23/2018 04:05:16Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
117.213.170.132,IPV4ADDR,,IP_WATCHLIST,C2,1/24/2018 09:41:11Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
117.213.170.252,IPV4ADDR,,IP_WATCHLIST,C2,1/24/2018 00:31:09Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
117.214.92.199,IPV4ADDR,,IP_WATCHLIST,C2,1/5/2018 05:25:36Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
117.254.85.138,IPV4ADDR,,IP_WATCHLIST,C2,12/27/2017 04:09:31Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
123.201.161.60,IPV4ADDR,,IP_WATCHLIST,C2,1/24/2018 07:08:58Z,TLP:WHITE,"According to DHS and FBI analysis, this IP address is compromised infrastructure. This IP is geolocated in India."
